# RQ1 experiment - D-series
Dataset includes: D=0-10 F=5 K=5
paradigm,series,D-Target,F-Target,K-Target,run,dp1_request_count,dp2_orchestration_ops,dp3_payload_bytes,overfetch_fields,underfetch_extra_calls,status
REST,D,0,5,5,1,1,1,265,5,0,ok
REST,D,0,5,5,2,1,1,265,5,0,ok
GraphQL,D,0,5,5,1,1,1,158,0,0,ok
GraphQL,D,0,5,5,2,1,1,158,0,0,ok
gRPC,D,0,5,5,1,1,1,191,5,0,ok
gRPC,D,0,5,5,2,1,1,191,5,0,ok
REST,D,1,5,5,1,2,2,1596,30,1,ok
REST,D,1,5,5,2,2,2,1596,30,1,ok
GraphQL,D,1,5,5,1,1,2,876,0,0,ok
GraphQL,D,1,5,5,2,1,2,876,0,0,ok
gRPC,D,1,5,5,1,1,2,1146,30,0,ok
gRPC,D,1,5,5,2,1,2,1146,30,0,ok
REST,D,2,5,5,1,7,7,8251,155,6,ok
REST,D,2,5,5,2,7,7,8251,155,6,ok
GraphQL,D,2,5,5,1,1,7,4466,0,0,ok
GraphQL,D,2,5,5,2,1,7,4466,0,0,ok
gRPC,D,2,5,5,1,1,7,5921,155,0,ok
gRPC,D,2,5,5,2,1,7,5921,155,0,ok
REST,D,3,5,5,1,32,32,41526,780,31,ok
REST,D,3,5,5,2,32,32,41526,780,31,ok
GraphQL,D,3,5,5,1,1,32,22416,0,0,ok
GraphQL,D,3,5,5,2,1,32,22416,0,0,ok
gRPC,D,3,5,5,1,1,32,29797,780,0,ok
gRPC,D,3,5,5,2,1,32,29797,780,0,ok
REST,D,4,5,5,1,157,157,207901,3905,156,ok
REST,D,4,5,5,2,157,157,207901,3905,156,ok
GraphQL,D,4,5,5,1,1,157,112166,0,0,ok
GraphQL,D,4,5,5,2,1,157,112166,0,0,ok
gRPC,D,4,5,5,1,1,157,149177,3905,0,ok
gRPC,D,4,5,5,2,1,157,149177,3905,0,ok
REST,D,5,5,5,1,782,782,1039776,19530,781,ok
REST,D,5,5,5,2,782,782,1039776,19530,781,ok
GraphQL,D,5,5,5,1,1,782,560916,0,0,ok
GraphQL,D,5,5,5,2,1,782,560916,0,0,ok
gRPC,D,5,5,5,1,1,782,746077,19530,0,ok
gRPC,D,5,5,5,2,1,782,746077,19530,0,ok
REST,D,6,5,5,1,3907,3907,5199151,97655,3906,ok
REST,D,6,5,5,2,3907,3907,5199151,97655,3906,ok
GraphQL,D,6,5,5,1,1,3907,2804666,0,0,ok
GraphQL,D,6,5,5,2,1,3907,2804666,0,0,ok
gRPC,D,6,5,5,1,1,3907,3730578,97655,0,ok
gRPC,D,6,5,5,2,1,3907,3730578,97655,0,ok
REST,D,7,5,5,1,19532,19532,25996026,488280,19531,ok
REST,D,7,5,5,2,19532,19532,25996026,488280,19531,ok
GraphQL,D,7,5,5,1,1,19532,14023416,0,0,ok
GraphQL,D,7,5,5,2,1,19532,14023416,0,0,ok
gRPC,D,7,5,5,1,1,19532,18653083,488280,0,ok
gRPC,D,7,5,5,2,1,19532,
