# RQ1 experiment - F-series
Dataset includes: D=3 F=0-10 K=3
paradigm,series,D-Target,F-Target,K-Target,run,dp1_request_count,dp2_orchestration_ops,dp3_payload_bytes,overfetch_fields,underfetch_extra_calls,status
REST,F,3,1,3,1,4,4,1066,28,3,ok
REST,F,3,1,3,2,4,4,1066,28,3,ok
GraphQL,F,3,1,3,1,1,4,420,0,0,ok
GraphQL,F,3,1,3,2,1,4,420,0,0,ok
gRPC,F,3,1,3,1,1,4,764,28,0,ok
gRPC,F,3,1,3,2,1,4,764,28,0,ok
REST,F,3,2,3,1,8,8,3996,105,7,ok
REST,F,3,2,3,2,8,8,3996,105,7,ok
GraphQL,F,3,2,3,1,1,8,1473,0,0,ok
GraphQL,F,3,2,3,2,1,8,1473,0,0,ok
gRPC,F,3,2,3,1,1,8,2865,105,0,ok
gRPC,F,3,2,3,2,1,8,2865,105,0,ok
REST,F,3,3,3,1,14,14,10652,280,13,ok
REST,F,3,3,3,2,14,14,10652,280,13,ok
GraphQL,F,3,3,3,1,1,14,3826,0,0,ok
GraphQL,F,3,3,3,2,1,14,3826,0,0,ok
gRPC,F,3,3,3,1,1,14,7640,280,0,ok
gRPC,F,3,3,3,2,1,14,7640,280,0,ok
REST,F,3,4,3,1,22,22,22630,595,21,ok
REST,F,3,4,3,2,22,22,22630,595,21,ok
GraphQL,F,3,4,3,1,1,22,8025,0,0,ok
GraphQL,F,3,4,3,2,1,22,8025,0,0,ok
gRPC,F,3,4,3,1,1,22,16235,595,0,ok
gRPC,F,3,4,3,2,1,22,16235,595,0,ok
REST,F,3,5,3,1,32,32,41526,1092,31,ok
REST,F,3,5,3,2,32,32,41526,1092,31,ok
GraphQL,F,3,5,3,1,1,32,14616,0,0,ok
GraphQL,F,3,5,3,2,1,32,14616,0,0,ok
gRPC,F,3,5,3,1,1,32,29797,1092,0,ok
gRPC,F,3,5,3,2,1,32,29797,1092,0,ok
REST,F,3,6,3,1,44,44,68936,1813,43,ok
REST,F,3,6,3,2,44,44,68936,1813,43,ok
GraphQL,F,3,6,3,1,1,44,24145,0,0,ok
GraphQL,F,3,6,3,2,1,44,24145,0,0,ok
gRPC,F,3,6,3,1,1,44,49470,1813,0,ok
gRPC,F,3,6,3,2,1,44,49470,1813,0,ok
REST,F,3,7,3,1,58,58,106456,2800,57,ok
REST,F,3,7,3,2,58,58,106456,2800,57,ok
GraphQL,F,3,7,3,1,1,58,37158,0,0,ok
GraphQL,F,3,7,3,2,1,58,37158,0,0,ok
gRPC,F,3,7,3,1,1,58,76401,2800,0,ok
gRPC,F,3,7,3,2,1,58,76401,2800,0,ok
REST,F,3,8,3,1,74,74,155682,4095,73,ok
REST,F,3,8,3,2,74,74,155682,4095,73,ok
GraphQL,F,3,8,3,1,1,74,54201,0,0,ok
GraphQL,F,3,8,3,2,1,74,54201,0,0,ok
gRPC,F,3,8,3,1,1,74,111736,4095,0,ok
gRPC,F,3,8,3,2,1,74,111736,4095,0,ok
REST,F,3,9,3,1,92,92,218210,5740,91,ok
REST,F,3,9,3,2,92,92,218210,5740,91,ok
GraphQL,F,3,9,3,1,1,92,75820,0,0,ok
GraphQL,F,3,9,3,2,1,92,75820,0,0,ok
gRPC,F,3,9,3,1,1,92,156630,5740,0,ok
gRPC,F,3,9,3,2,1,92,156630,5740,0,ok
REST,F,3,10,3,1,112,112,295636,7777,111,ok
REST,F,3,10,3,2,112,112,295636,7777,111,ok
GraphQL,F,3,10,3,1,1,112,102561,0,0,ok
GraphQL,F,3,10,3,2,1,112,102561,0,0,ok
gRPC,F,3,10,3,1,1,112,212212,7777,0,ok
gRPC,F,3,10,3,2,1,112,212212,7777,0,ok
