# RQ1 experiment - K-series
Dataset includes: D=3 F=3 K=0-10
paradigm,series,D-Target,F-Target,K-Target,run,dp1_request_count,dp2_orchestration_ops,dp3_payload_bytes,overfetch_fields,underfetch_extra_calls,status
REST,K,3,3,1,1,14,14,10652,360,13,ok
REST,K,3,3,1,2,14,14,10652,360,13,ok
GraphQL,K,3,3,1,1,1,14,1826,0,0,ok
GraphQL,K,3,3,1,2,1,14,1826,0,0,ok
gRPC,K,3,3,1,1,1,14,7640,360,0,ok
gRPC,K,3,3,1,2,1,14,7640,360,0,ok
REST,K,3,3,2,1,14,14,10652,320,13,ok
REST,K,3,3,2,2,14,14,10652,320,13,ok
GraphQL,K,3,3,2,1,1,14,2826,0,0,ok
GraphQL,K,3,3,2,2,1,14,2826,0,0,ok
gRPC,K,3,3,2,1,1,14,7640,320,0,ok
gRPC,K,3,3,2,2,1,14,7640,320,0,ok
REST,K,3,3,3,1,14,14,10652,280,13,ok
REST,K,3,3,3,2,14,14,10652,280,13,ok
GraphQL,K,3,3,3,1,1,14,3826,0,0,ok
GraphQL,K,3,3,3,2,1,14,3826,0,0,ok
gRPC,K,3,3,3,1,1,14,7640,280,0,ok
gRPC,K,3,3,3,2,1,14,7640,280,0,ok
REST,K,3,3,4,1,14,14,10652,240,13,ok
REST,K,3,3,4,2,14,14,10652,240,13,ok
GraphQL,K,3,3,4,1,1,14,4826,0,0,ok
GraphQL,K,3,3,4,2,1,14,4826,0,0,ok
gRPC,K,3,3,4,1,1,14,7640,240,0,ok
gRPC,K,3,3,4,2,1,14,7640,240,0,ok
REST,K,3,3,5,1,14,14,10652,200,13,ok
REST,K,3,3,5,2,14,14,10652,200,13,ok
GraphQL,K,3,3,5,1,1,14,5826,0,0,ok
GraphQL,K,3,3,5,2,1,14,5826,0,0,ok
gRPC,K,3,3,5,1,1,14,7640,200,0,ok
gRPC,K,3,3,5,2,1,14,7640,200,0,ok
REST,K,3,3,6,1,14,14,10652,160,13,ok
REST,K,3,3,6,2,14,14,10652,160,13,ok
GraphQL,K,3,3,6,1,1,14,6826,0,0,ok
GraphQL,K,3,3,6,2,1,14,6826,0,0,ok
gRPC,K,3,3,6,1,1,14,7640,160,0,ok
gRPC,K,3,3,6,2,1,14,7640,160,0,ok
REST,K,3,3,7,1,14,14,10652,120,13,ok
REST,K,3,3,7,2,14,14,10652,120,13,ok
GraphQL,K,3,3,7,1,1,14,7826,0,0,ok
GraphQL,K,3,3,7,2,1,14,7826,0,0,ok
gRPC,K,3,3,7,1,1,14,7640,120,0,ok
gRPC,K,3,3,7,2,1,14,7640,120,0,ok
REST,K,3,3,8,1,14,14,10652,80,13,ok
REST,K,3,3,8,2,14,14,10652,80,13,ok
GraphQL,K,3,3,8,1,1,14,8826,0,0,ok
GraphQL,K,3,3,8,2,1,14,8826,0,0,ok
gRPC,K,3,3,8,1,1,14,7640,80,0,ok
gRPC,K,3,3,8,2,1,14,7640,80,0,ok
REST,K,3,3,9,1,14,14,10652,40,13,ok
REST,K,3,3,9,2,14,14,10652,40,13,ok
GraphQL,K,3,3,9,1,1,14,9826,0,0,ok
GraphQL,K,3,3,9,2,1,14,9826,0,0,ok
gRPC,K,3,3,9,1,1,14,7640,40,0,ok
gRPC,K,3,3,9,2,1,14,7640,40,0,ok
REST,K,3,3,10,1,14,14,10652,0,13,ok
REST,K,3,3,10,2,14,14,10652,0,13,ok
GraphQL,K,3,3,10,1,1,14,10826,0,0,ok
GraphQL,K,3,3,10,2,1,14,10826,0,0,ok
gRPC,K,3,3,10,1,1,14,7640,0,0,ok
gRPC,K,3,3,10,2,1,14,7640,0,0,ok
