# RQ1 experiment - D-series
Dataset includes: D=0-5 F=3 K=3
paradigm,series,D-Target,F-Target,K-Target,run,dp1_request_count,dp2_orchestration_ops,dp3_payload_bytes,overfetch_fields,underfetch_extra_calls,status
REST,D,0,3,3,1,1,1,265,7,0,ok
GraphQL,D,0,3,3,1,1,1,108,0,0,ok
gRPC,D,0,3,3,1,1,1,191,7,0,ok
REST,D,1,3,3,1,2,2,1064,28,1,ok
GraphQL,D,1,3,3,1,1,2,394,0,0,ok
gRPC,D,1,3,3,1,1,2,764,28,0,ok
REST,D,2,3,3,1,5,5,3461,91,4,ok
GraphQL,D,2,3,3,1,1,5,1252,0,0,ok
gRPC,D,2,3,3,1,1,5,2483,91,0,ok
REST,D,3,3,3,1,14,14,10652,280,13,ok
GraphQL,D,3,3,3,1,1,14,3826,0,0,ok
gRPC,D,3,3,3,1,1,14,7640,280,0,ok
REST,D,4,3,3,1,41,41,32225,847,40,ok
GraphQL,D,4,3,3,1,1,41,11548,0,0,ok
gRPC,D,4,3,3,1,1,41,23112,847,0,ok
REST,D,5,3,3,1,122,122,96944,2548,121,ok
GraphQL,D,5,3,3,1,1,122,34714,0,0,ok
gRPC,D,5,3,3,1,1,122,69528,2548,0,ok
