# RQ1 experiment - D-series
Dataset includes: D=0-10 F=3 K=3
paradigm,series,D-Target,F-Target,K-Target,run,dp1_request_count,dp2_orchestration_ops,dp3_payload_bytes,overfetch_fields,underfetch_extra_calls,status
REST,D,0,3,3,1,1,0,265,7,0,ok
GraphQL,D,0,3,3,1,1,0,108,0,0,ok
REST,D,1,3,3,1,2,1,1064,28,1,ok
GraphQL,D,1,3,3,1,1,1,394,0,0,ok
REST,D,2,3,3,1,5,4,3461,91,4,ok
GraphQL,D,2,3,3,1,1,4,1252,0,0,ok
REST,D,3,3,3,1,14,13,10652,280,13,ok
GraphQL,D,3,3,3,1,1,13,3826,0,0,ok
REST,D,4,3,3,1,41,40,32225,847,40,ok
GraphQL,D,4,3,3,1,1,40,11548,0,0,ok
REST,D,5,3,3,1,122,121,96944,2548,121,ok
GraphQL,D,5,3,3,1,1,121,34714,0,0,ok
REST,D,6,3,3,1,365,364,291101,7651,364,ok
GraphQL,D,6,3,3,1,1,364,104212,0,0,ok
REST,D,7,3,3,1,1094,1093,873572,22960,1093,ok
GraphQL,D,7,3,3,1,1,1093,312706,0,0,ok
REST,D,8,3,3,1,3281,3280,2620985,68887,3280,ok
GraphQL,D,8,3,3,1,1,3280,938188,0,0,ok
REST,D,9,3,3,1,9842,9841,7863224,206668,9841,ok
GraphQL,D,9,3,3,1,1,9841,2814634,0,0,ok
REST,D,10,3,3,1,29525,29524,23589941,620011,29524,ok
GraphQL,D,10,3,3,1,1,29524,8443972,0,0,ok
