# RQ1 experiment - F-series
Dataset includes: D=3 F=0-10 K=3
paradigm,series,D-Target,F-Target,K-Target,run,dp1_request_count,dp2_orchestration_ops,dp3_payload_bytes,overfetch_fields,underfetch_extra_calls,status
REST,F,3,1,3,1,4,3,1066,28,3,ok
GraphQL,F,3,1,3,1,1,3,420,0,0,ok
REST,F,3,2,3,1,8,7,3996,105,7,ok
GraphQL,F,3,2,3,1,1,7,1473,0,0,ok
REST,F,3,3,3,1,14,13,10652,280,13,ok
GraphQL,F,3,3,3,1,1,13,3826,0,0,ok
REST,F,3,4,3,1,22,21,22630,595,21,ok
GraphQL,F,3,4,3,1,1,21,8025,0,0,ok
REST,F,3,5,3,1,32,31,41526,1092,31,ok
GraphQL,F,3,5,3,1,1,31,14616,0,0,ok
REST,F,3,6,3,1,44,43,68936,1813,43,ok
GraphQL,F,3,6,3,1,1,43,24145,0,0,ok
REST,F,3,7,3,1,58,57,106456,2800,57,ok
GraphQL,F,3,7,3,1,1,57,37158,0,0,ok
REST,F,3,8,3,1,74,73,155682,4095,73,ok
GraphQL,F,3,8,3,1,1,73,54201,0,0,ok
REST,F,3,9,3,1,92,91,218210,5740,91,ok
GraphQL,F,3,9,3,1,1,91,75820,0,0,ok
REST,F,3,10,3,1,112,111,295636,7777,111,ok
GraphQL,F,3,10,3,1,1,111,102561,0,0,ok
