# RQ1 experiment - K-series
Dataset includes: D=3 F=3 K=0-10
paradigm,series,D-Target,F-Target,K-Target,run,dp1_request_count,dp2_orchestration_ops,dp3_payload_bytes,overfetch_fields,underfetch_extra_calls,status
REST,K,3,3,1,1,14,13,10652,360,13,ok
GraphQL,K,3,3,1,1,1,13,1826,0,0,ok
REST,K,3,3,2,1,14,13,10652,320,13,ok
GraphQL,K,3,3,2,1,1,13,2826,0,0,ok
REST,K,3,3,3,1,14,13,10652,280,13,ok
GraphQL,K,3,3,3,1,1,13,3826,0,0,ok
REST,K,3,3,4,1,14,13,10652,240,13,ok
GraphQL,K,3,3,4,1,1,13,4826,0,0,ok
REST,K,3,3,5,1,14,13,10652,200,13,ok
GraphQL,K,3,3,5,1,1,13,5826,0,0,ok
REST,K,3,3,6,1,14,13,10652,160,13,ok
GraphQL,K,3,3,6,1,1,13,6826,0,0,ok
REST,K,3,3,7,1,14,13,10652,120,13,ok
GraphQL,K,3,3,7,1,1,13,7826,0,0,ok
REST,K,3,3,8,1,14,13,10652,80,13,ok
GraphQL,K,3,3,8,1,1,13,8826,0,0,ok
REST,K,3,3,9,1,14,13,10652,40,13,ok
GraphQL,K,3,3,9,1,1,13,9826,0,0,ok
REST,K,3,3,10,1,14,13,10652,0,13,ok
GraphQL,K,3,3,10,1,1,13,10826,0,0,ok
